"id","name","fullName","activeIngridient","activeMoiety","routeOfAdministration","drugbank_id","genericMedicine","representedOrganization"
965,"FDUR","FDUR (Injection, Powder, Lyophilized, For Solution)","Floxuridine","Floxuridine","Intra-arterial","DB00322","Floxuridine","Mayne Pharma (USA) Inc."
966,"Sulfasalazine","Sulfasalazine (Tablet)","sulfasalazine","sulfasalazine","Oral","DB00795","sulfasalazine","Vintage Pharmaceuticals, LLC"
967,"PULMICORT TURBUHALER","PULMICORT TURBUHALER (Powder, Metered)","Budesonide","Budesonide","Respiratory (inhalation)","DB01222","Budesonide","AstraZeneca LP"
968,"Sansert","Sansert (Tablet, Coated)","methysergide maleate","methysergide","Oral","","methysergide maleate","Novartis Pharmaceuticals Corporation"
969,"Flutamide","Flutamide (Capsule)","flutamide","Flutamide","Oral","DB00499","Flutamide","Genpharm"
970,"Nortriptyline Hydrochloride","Nortriptyline Hydrochloride (Solution)","Nortriptyline Hydrochloride","Nortriptyline","Oral","","Nortriptyline Hydrochloride","Pharmaceutical Associates, Inc."
971,"Peridex","Peridex (Liquid)","chlorhexidine gluconate","chlorhexidine","Oral","","chlorhexidine gluconate","3M"
972,"Fluvoxamine Maleate","Fluvoxamine Maleate (Tablet, Film Coated)","Fluvoxamine Maleate","Fluvoxamine","Oral","","Fluvoxamine Maleate","IVAX Pharmaceuticals, INC"
973,"Ipratropium Bromide","Ipratropium Bromide (Spray, Metered)","ipratropium bromide","ipratropium cation","Nasal","","Ipratropium Bromide","Bausch&Lomb Incorporated"
974,"AVANDAMET","AVANDAMET (Tablet)","rosiglitazone maleate","rosiglitazone","Oral","","rosiglitazone maleate and metformin hydrochloride","GlaxoSmithKline"
975,"Propofol","Propofol (Injection, Emulsion)","PROPOFOL","PROPOFOL","Intravenous","DB00818","Propofol","Bedford Laboratories"
976,"SUPRANE","SUPRANE (Liquid)","desflurane","desflurane","Respiratory (inhalation)","DB01189","desflurane","Baxter Healthcare Corporation"
977,"Navane","Navane (Capsule)","Thiothixene","Thiothixene","Oral","DB01623","Thiothixene","Roerig"
978,"Simvastatin","Simvastatin (Tablet, Film Coated)","SIMVASTATIN","SIMVASTATIN","Oral","DB00641","Simvastatin","Zydus Pharmaceuticals USA Inc."
979,"Trazodone Hydrochloride","Trazodone Hydrochloride (Tablet)","TRAZODONE HYDROCHLORIDE","TRAZODONE","Oral","","Trazodone Hydrochloride","Barr Laboratories, Inc."
980,"Taclonex","Taclonex (Suspension)","calcipotriene hydrate","calcipotriene","Topical","","calcipotriene hydrate and betamethasone dipropionate","LEO Pharmaceutical Products Ltd. A/S"
981,"Erythromycin","Erythromycin (Capsule, Delayed Release)","erythromycin base","erythromycin","Oral","DB00199","Erythromycin","Abott Laboratories"
982,"Dobutamine","Dobutamine (Injection)","dobutamine hydrochloride","dobutamine","Intravenous","","Dobutamine hydrochloride","Bedford Laboratories"
983,"Ambien CR","Ambien CR (Tablet, Coated)","zolpidem tartrate","zolpidem","Oral","","zolpidem tartrate","sanofi-aventis U.S. LLC"
984,"Haloperidol","Haloperidol (Tablet)","Haloperidol","Haloperidol","Oral","DB00502","Haloperidol","Mylan Pharmaceuticals Inc."
985,"Calcitriol","Calcitriol (Injection, Solution)","calcitriol","calcitriol","Intravenous","DB00136","Calcitriol","AMERICAN REGENT, INC."
986,"Anafranil","Anafranil (Capsule)","clomipramine hydrochloride","clomipramine","Oral","","Clomipramine Hydrochloride","Mallinckrodt Inc."
987,"Tamoxifen Citrate","Tamoxifen Citrate (Tablet, Film Coated)","tamoxifen citrate","tamoxifen","Oral","","Tamoxifen Citrate","TEVA PHARMACEUTICALS USA"
988,"Dicyclomine Hydrochloride","Dicyclomine Hydrochloride (Injection)","dicyclomine hydrochloride","dicyclomine","Intramuscular","","Dicyclomine Hydrochloride","Bedford Laboratories"
989,"mercaptopurine","mercaptopurine (Tablet)","mercaptopurine","mercaptopurine","Oral","DB01033","mercaptopurine","PAR PHARMACEUTICAL, INC."
990,"Diflorasone Diacetate","Diflorasone Diacetate (Cream)","Diflorasone Diacetate","Diflorasone","Topical","","Diflorasone Diacetate","E. FOUGERA&CO."
991,"Lotrisone","Lotrisone (Lotion)","Clotrimazole","Clotrimazole","Topical","","Clotrimazole and Betamethasone Dipropionate","Schering Corporation"
992,"Erythromycin","Erythromycin (Solution)","Erythromycin","Erythromycin","Topical","DB00199","Erythromycin","Perrigo New York, Inc."
993,"Diazepam","Diazepam (Injection, Solution)","diazepam","diazepam","Intramuscular","DB00829","Diazepam","Hospira, Inc."
994,"Butalbital, Acetaminophen and Caffeine with Codeine Phosphate","Butalbital, Acetaminophen and Caffeine with Codeine Phosphate (Capsule)","Butalbital","Butalbital","Oral","","Butalbital, Acetaminophen, Caffeine and Codeine Phosphate","West-ward Pharmaceutical Corp."
995,"Clobetasol Propionate","Clobetasol Propionate (Cream)","CLOBETASOL PROPIONATE","CLOBETASOL","Topical","","clobetasol propionate","Stiefel Laboratories, Inc."
996,"Prochlorperazine Maleate","Prochlorperazine Maleate (Tablet)","PROCHLORPERAZINE MALEATE","PROCHLORPERAZINE","Oral","","Prochlorperazine Maleate","BARR LABORATORIES, INC."
997,"Chlorhexidine Gluconate","Chlorhexidine Gluconate (Rinse)","Chlorhexidine gluconate","Chlorhexidine","Oral","","Chlorhexidine Gluconate","TEVA PHARMACEUTICALS USA"
998,"Zanaflex","Zanaflex (Capsule, Gelatin Coated)","tizanidine hydrochloride","tizanidine","Oral","","tizanidine hydrochloride","Acorda Therapeutics, Inc."
999,"Lorazepam","Lorazepam (Injection)","LORAZEPAM","LORAZEPAM","Intramuscular","DB00186","Lorazepam","Bedford Laboratories"
1000,"Isosorbide Mononitrate ER","Isosorbide Mononitrate ER (Tablet, Extended Release)","Isosorbide Mononitrate","Isosorbide Mononitrate","Oral","DB01020","Isosorbide Mononitrate","KV Pharmaceutical Co."
1001,"Testosterone Cypionate","Testosterone Cypionate (Injection, Solution)","Testosterone Cypionate","Testosterone","Intramuscular","","Testosterone Cypionate","Paddock Laboratories, Inc."
1002,"Acetic Acid","Acetic Acid (Irrigant)","Acetic Acid","Acetic Acid","Irrigation","DB03166","Acetic Acid","Baxter Healthcare Corporation"
1003,"acyclovir","acyclovir (Capsule)","acyclovir","acyclovir","Oral","","acyclovir","Apotex Corp."
1004,"Digoxin","Digoxin (Tablet)","Digoxin","Digoxin","Oral","DB00390","Digoxin","West-ward Pharmaceutical Corp."
1005,"Gentamicin Sulfate","Gentamicin Sulfate (Solution/ Drops)","Gentamicin Sulfate","Gentamicin","Ophthalmic","","Gentamicin Sulfate","Bausch&Lomb Incorporated"
1006,"ERYC","ERYC (Capsule, Delayed Release Pellets)","erythromycin","erythromycin","Oral","DB00199","Erythromycin","Warner Chilcott (US), Inc."
1007,"Amoxicillin and Clavulanate Potassium","Amoxicillin and Clavulanate Potassium (Tablet, Chewable)","amoxicillin","amoxicillin","Oral","","Amoxicillin and Clavulanate Potassium","TEVA PHARMACEUTICALS USA"
1008,"Phenytoin Sodium","Phenytoin Sodium (Injection, Solution)","Phenytoin Sodium","Phenytoin","Intramuscular","","Phenytoin Sodium","HOSPIRA, INC."
1009,"Amoxicillin and Clavulanate Potassium","Amoxicillin and Clavulanate Potassium (Powder, For Suspension)","Amoxicillin","Amoxicillin","Oral","","Amoxicillin and Clavulanate Potassium","TEVA PHARMACEUTICALS USA"
1010,"TIZANIDINE HYDROCHLORIDE","TIZANIDINE HYDROCHLORIDE (Tablet)","TIZANIDINE HYDROCHLORIDE","Tizanidine","Oral","","TIZANIDINE HYDROCHLORIDE","ALPHAPHARM PTY LTD"
1011,"Livostin","Livostin (Suspension)","levocabastine hydrochloride","levocabastine","Ophthalmic","","levocabastine hydrochloride","Novartis Ophthalmics"
1012,"Cromolyn Sodium","Cromolyn Sodium (Solution)","cromolyn sodium","cromolyn","Ophthalmic","","cromolyn sodium","King Pharmaceuticals, Inc."
1013,"Celexa","Celexa (Tablet)","citalopram hydrobromide","citalopram","Oral","","citalopram hydrobromide","Forest Pharmaceuticals, Inc."
1014,"FUNGIZONE","FUNGIZONE (Injection, Powder, Lyophilized, For Solution)","amphotericin B","amphotericin B","Intravenous","DB00681","amphotericin B","Bristol-Myers Squibb Company"
1015,"Tapazole","Tapazole (Tablet)","methimazole","methimazole","Oral","DB00763","methimazole","King Pharmaceuticals, Inc."
1016,"medroxyprogesterone acetate","medroxyprogesterone acetate (Injection, Suspension)","medroxyprogesterone acetate","medroxyprogesterone","Intramuscular","","medroxyprogesterone acetate","Greenstone Ltd."
1017,"Rifater","Rifater (Tablet, Sugar Coated)","rifampin","rifampin","Oral","","rifampin, isoniazid and pyrazinamide","sanofi-aventis U.S. LLC"
1018,"CEFZIL","CEFZIL (Tablet, Film Coated)","cefprozil","cefprozil","Oral","DB01150","CEFPROZIL","Bristol-Myers Squibb"
1019,"FOSINOPRIL SODIUM AND HYDROCHLOROTHIAZIDE","FOSINOPRIL SODIUM AND HYDROCHLOROTHIAZIDE (Tablet)","Fosinopril Sodium","Fosinopril","Oral","","FOSINOPRIL SODIUM AND HYDROCHLOROTHIAZIDE","Andrx Pharmaceuticals, Inc."
1020,"PrednisoLONE","PrednisoLONE (Solution)","Prednisolone","Prednisolone","Oral","DB00860","Prednisolone","Pharmaceutical Associates, Inc."
1021,"Lithane","Lithane (Tablet)","lithium carbonate","","Oral","","lithium carbonate","Miles Pharmaceuticals"
1022,"Dynacin","Dynacin (Capsule)","minocycline hydrochloride","minocycline","Oral","","minocycline hydrochloride","MEDICIS, The Dermatology Company"
1023,"Inamrinone","Inamrinone (Injection)","inamrinone","inamrinone","Intravenous","","Inamrinone","Bedford Laboratories"
1024,"Levlite","Levlite (Kit)","LEVONORGESTREL","LEVONORGESTREL","Oral","","levonorgestrel and ethinyl estradiol",""
1025,"ONTAK","ONTAK (Solution)","denileukin diftitox","denileukin diftitox","Intravenous","DB00004","denileukin diftitox","Eisai Inc."
1026,"Ketorolac Tromethamine","Ketorolac Tromethamine (Injection, Solution)","Ketorolac Tromethamine","Ketorolac","Intramuscular","","Ketorolac Tromethamine","Hospira, Inc."
1027,"Cipro","Cipro (Tablet, Film Coated)","ciprofloxacin","ciprofloxacin","Oral","DB00537","ciprofloxacin","Bayer HealthCare Pharmaceuticals Inc."
1028,"Detrol","Detrol (Tablet, Film Coated)","tolterodine tartrate","tolterodine","Oral","","tolterodine tartrate","Pharmacia&Upjohn Company"
1029,"Cholografin Meglumine","Cholografin Meglumine (Injection, Solution)","Iodipamide meglumine","iodipamide","Intravenous","","Iodipamide Meglumine","Bracco Diagnostics Inc."
1030,"Cefuroxime Axetil","Cefuroxime Axetil (Tablet)","Cefuroxime","Cefuroxime","Oral","","Cefuroxime Axetil","TEVA PHARMACEUTICALS USA"
1031,"AZACTAM","AZACTAM (Injection, Solution)","aztreonam","aztreonam","Intravenous","DB00355","aztreonam","Bristol-Myers Squibb Company"
1032,"Desonide","Desonide (Ointment)","desonide","desonide","Topical","DB01260","Desonide","E. FOUGERA and CO."
1033,"Zolpidem Tartrate","Zolpidem Tartrate (Tablet, Film Coated)","Zolpidem Tartrate","Zolpidem","Oral","","Zolpidem Tartrate","Yung Shin Pharmaceutical Industries, Co., LTD."
1034,"Sutent","Sutent (Capsule)","sunitinib malate","sunitinib","Oral","","sunitinib malate","Pfizer, Inc."
1035,"Sulf 10","Sulf 10 (Solution)","Sulfacetamide sodium","Sulfacetamide","Ophthalmic","","sulfacetamide sodium","Novartis Ophthalmics"
1036,"Sodium Chloride","Sodium Chloride (Injection, Solution)","Sodium Chloride","Sodium Chloride","Intravenous","","Sodium Chloride","Hospira, Inc."
1037,"HYTRIN","HYTRIN (Capsule, Liquid Filled)","terazosin hydrochloride","terazosin","Oral","","TERAZOSIN HYDROCHLORIDE","Abbott Laboratories"
1038,"Quinapril Hydrochloride","Quinapril Hydrochloride (Tablet, Film Coated)","Quinapril Hydrochloride","Quinapril","Oral","","Quinapril Hydrochloride","Mylan Pharmaceuticals Inc."
1039,"Metronidazole","Metronidazole (Cream)","metronidazole","metronidazole","Topical","DB00916","Metronidazole","E. FOUGERA and CO."
1040,"ELOCON","ELOCON (Cream)","mometasone furoate","mometasone","Topical","","mometasone furoate","Schering Corporation"
1041,"Mefloquine Hydrochloride","Mefloquine Hydrochloride (Tablet)","mefloquine hydrochloride","mefloquine","Oral","","Mefloquine Hydrochloride","Roxane Laboratories, Inc."
1042,"Omnipaque","Omnipaque (Injection)","Iohexol","Iohexol","Intravenous","DB01362","Iohexol","GE Healthcare Inc."
1043,"Neomycin and Polymyxin B Sulfates and Dexamethasone","Neomycin and Polymyxin B Sulfates and Dexamethasone (Ointment)","Neomycin Sulfate","Neomycin","Ophthalmic","","Neomycin sulfate, Polymyxin B Sulfate, and Dexamethasone","Bausch&Lomb Incorporated"
1044,"Ketek","Ketek (Tablet, Film Coated)","telithromycin","telithromycin","Oral","DB00976","telithromycin","Sanofi-Aventis U.S. LLC"
1045,"Azithromycin","Azithromycin (Tablet, Film Coated)","Azithromycin","Azithromycin","Oral","DB00207","Azithromycin","Sandoz Inc."
1046,"Gentamicin Sulfate","Gentamicin Sulfate (Injection, Solution)","Gentamicin sulfate","Gentamicin","Intravenous","","Gentamicin Sulfate","Baxter Healthcare Corporation"
1047,"NATRECOR","NATRECOR (Injection, Powder, Lyophilized, For Solution)","nesiritide","nesiritide","Intravenous","DB04899","nesiritide","Scios Inc."
1048,"Morphine Sulfate ER","Morphine Sulfate ER (Tablet, Extended Release)","Morphine Sulfate","Morphine","Oral","","Morphine Sulfate","KV Pharmaceutical Co."
1049,"METFORMIN HYDROCHLORIDE","METFORMIN HYDROCHLORIDE (Tablet)","metformin hydrochloride","metformin","Oral","","Metformin Hydrochloride","Mutual Pharmaceutical Company"
1050,"EMEND","EMEND (Injection, Powder, Lyophilized, For Solution)","fosaprepitant dimeglumine","aprepitant","Intravenous","","fosaprepitant dimeglumine","Merck&Co., Inc."
1051,"Sensipar","Sensipar (Tablet, Coated)","CINACALCET HYDROCHLORIDE","cinacalcet","Oral","","cinacalcet hydrochloride","Amgen Inc."
1052,"Citalopram","Citalopram (Tablet, Film Coated)","Citalopram hydrobromide","Citalopram","Oral","","Citalopram hydrobromide","Cobalt Laboratories"
1053,"ZOVIRAX","ZOVIRAX (Ointment)","acyclovir","acyclovir","Topical","","acyclovir","GlaxoSmithKline"
1054,"Fluocinonide","Fluocinonide (Cream)","Fluocinonide","Fluocinonide","Topical","DB01047","Fluocinonide","TEVA PHARMACEUTICALS USA"
1055,"Nitroglycerin In Dextrose","Nitroglycerin In Dextrose (Injection)","Nitroglycerin","Nitroglycerin","Intravenous","","Nitroglycerin and Dextrose","Baxter Healthcare Corporation"
1056,"Nizatidine","Nizatidine (Capsule)","nizatidine","nizatidine","Oral","DB00585","Nizatidine","TEVA PHARMACEUTICALS USA"
1057,"Copaxone","Copaxone (Injection)","glatiramer acetate","glatiramer","Subcutaneous","DB05259","glatiramer acetate","TEVA Neuroscience, Inc."
1058,"Potassium Chloride in Dextrose","Potassium Chloride in Dextrose (Injection, Solution)","Dextrose Hydrous","dextrose","Intravenous","","potassium chloride and dextrose","Baxter Healthcare Corporation"
1059,"Paclitaxel","Paclitaxel (Solution)","PACLITAXEL","PACLITAXEL","Intravenous","DB01229","Paclitaxel","Bedford Laboratories"
1060,"Depakote","Depakote (Capsule)","divalproex sodium","valproic acid","Oral","DB00510","divalproex sodium","Abbott Laboratories"
1061,"CARDIZEM","CARDIZEM (Tablet, Coated)","diltiazem hydrochloride","diltiazem","Oral","","diltiazem hydrochloride","Biovail Pharmaceuticals, Inc."
1062,"fomepizole","fomepizole (Injection, Solution)","fomepizole","fomepizole","Intravenous","DB01213","fomepizole","EMCURE"
1063,"LOPROX","LOPROX (Shampoo)","ciclopirox","ciclopirox","Topical","DB01188","ciclopirox","MEDICIS Pharmaceutical Corp."
1064,"Tizanidine Hydrochloride","Tizanidine Hydrochloride (Tablet)","tizanidine hydrochloride","tizanidine","Oral","","tizanidine hydrochloride","CARACO PHARMACEUTICAL LABORATORIES, LTD."
1065,"Ketoconazole","Ketoconazole (Tablet)","Ketoconazole","Ketoconazole","Oral","DB01026","Ketoconazole","Mylan Pharmaceuticals Inc."
1066,"Flumazenil","Flumazenil (Injection, Solution)","flumazenil","flumazenil","Intravenous","DB01205","Flumazenil","Baxter Healthcare Corporation"
1067,"Cefadroxil","Cefadroxil (Tablet)","cefadroxil","cefadroxil","Oral","DB01140","Cefadroxil","Teva Pharmaceuticals USA"
1068,"Metformin hydrochloride","Metformin hydrochloride (Tablet, Film Coated)","Metformin hydrochloride","Metformin","Oral","","Metformin hydrochloride","Dr. Reddy's Laboratories Limited"
1069,"Acetylcysteine","Acetylcysteine (Solution)","ACETYLCYSTEINE","ACETYLCYSTEINE","Oral","DB06151","Acetylcysteine","Roxane Laboratories, Inc."
1070,"ASTELIN","ASTELIN (Spray, Metered)","azelastine hydrochloride","azelastine","Nasal","","azelastine hydrochloride","MedPointe Pharmaceuticals"
1071,"LORAZEPAM","LORAZEPAM (Tablet)","lorazepam","lorazepam","Oral","DB00186","lorazepam","MUTUAL PHARMACEUTICAL COMPANY, INC."
1072,"Optison","Optison (Injection, Suspension)","Albumin human","albumin human","Intravenous","","albumin human","GE Healthcare Inc."
1073,"Hepatasol","Hepatasol (Injection)","Leucine","Leucine","Intravenous","","Leucine, Isoleucine, Valine, Lysine, Threonine, Methionine, Phenylalanine, Tryptophan, Glycine, Proline, Alanine, Arginine, Serine, Histidine and Cysteine","Baxter Healthcare Corporation"
1074,"Cetirizine Hydrochloride","Cetirizine Hydrochloride (Syrup)","cetirizine hydrochloride","cetirizine","Oral","","cetirizine hydrochloride","Cypress Pharmaceuticals, Inc."
1075,"ZESTRIL","ZESTRIL (Tablet)","Lisinopril","Lisinopril","Oral","DB00722","Lisinopril","AstraZeneca Pharmaceuticals LP"
1076,"Bravelle","Bravelle (Kit)","","","Subcutaneous","DB00094","urofollitropin","FERRING PHARMACEUTICALS INC."
1077,"Simvastatin","Simvastatin (Tablet, Film Coated)","Simvastatin","Simvastatin","Oral","DB00641","Simvastatin","Aurobindo Pharma Limited"
1078,"SEROQUEL XR","SEROQUEL XR (Tablet, Extended Release)","Quetiapine fumarate","Quetiapine","Oral","","Quetiapine fumarate","AstraZeneca LP"
1079,"Sulindac","Sulindac (Tablet)","Sulindac","Sulindac","Oral","DB00605","Sulindac","Mylan Pharmaceuticals Inc."
1080,"SPRYCEL","SPRYCEL (Tablet)","dasatinib","dasatinib","Oral","DB01254","DASATINIB","Bristol-Myers Squibb"
1081,"Ondansetron Hydrochloride","Ondansetron Hydrochloride (Tablet, Film Coated)","Ondansetron Hydrochloride","Ondansetron","Oral","","Ondansetron Hydrochloride","Dr. Reddy's Laboratories Limited"
1082,"Atracurium Besylate","Atracurium Besylate (Injection)","atracurium besylate","atracurium","Intravenous","","Atracurium Besylate","Bedford Laboratories"
1083,"Procainamide Hydrochloride","Procainamide Hydrochloride (Capsule)","Procainamide Hydrochloride","Procainamide","Oral","","Procainamide Hydrochloride","IVAX Pharmaceuticals, Inc."
1084,"Fosphenytoin Sodium","Fosphenytoin Sodium (Injection, Solution)","Fosphenytoin Sodium","Fosphenytoin","Intravenous","","Fosphenytoin Sodium","Apotex Corp."
1085,"Stavudine","Stavudine (Capsule)","Stavudine","Stavudine","Oral","DB00649","stavudine","Matrix Laboratories Inc."
1086,"Naproxen","Naproxen (Tablet)","Naproxen","Naproxen","Oral","DB00788","Naproxen","Perrigo"
1087,"Nystatin and Triamcinolone Acetonide","Nystatin and Triamcinolone Acetonide (Ointment)","nystatin","nystatin","Topical","","nystatin and triamcinolone acetonide","E. FOUGERA and CO."
1088,"Clozapine","Clozapine (Tablet)","Clozapine","Clozapine","Oral","DB00363","Clozapine","Teva Pharmaceuticals USA"
1089,"Acetaminophen and Codeine  Phosphate","Acetaminophen and Codeine  Phosphate (Tablet)","Acetaminophen","Acetaminophen","Oral","","Acetaminophen and Codeine Phosphate","BARR LABORATORIES, INC."
1090,"CYLERT","CYLERT (Tablet)","Pemoline","Pemoline","Oral","DB01230","pemoline","Abbott Laboratories"
1091,"Sulfamethoxazole and Trimethoprim","Sulfamethoxazole and Trimethoprim (Tablet)","Sulfamethoxazole","Sulfamethoxazole","Oral","","Sulfamethoxazole and Trimethoprim","Mutual Pharmaceutical Company, Inc."
1092,"Cortisporin","Cortisporin (Suspension)","neomycin sulfate","neomycin","Auricular (otic)","","neomycin sulfate, polymyxin B sulfate and hydrocortisone","Monarch Pharmaceuticals, Inc."
1093,"Prednisolone Sodium Phosphate","Prednisolone Sodium Phosphate (Solution)","prednisolone sodium phosphate","prednisolone","Oral","","Prednisolone Sodium Phosphate","Paddock Laboratories, Inc."
1094,"Haloperidol","Haloperidol (Injection)","HALOPERIDOL lactate","HALOPERIDOL","Intramuscular","","Haloperidol lactate","Bedford Laboratories"
1095,"Clobetasol Propionate","Clobetasol Propionate (Gel)","Clobetasol Propionate","Clobetasol","Topical","","Clobetasol Propionate","Taro Pharmaceuticals U.S.A., Inc."
1096,"MONOPRIL","MONOPRIL (Tablet)","fosinopril sodium","fosinopril","Oral","","FOSINOPRIL SODIUM","Bristol-Myers Squibb"
1097,"Diazepam","Diazepam (Tablet)","Diazepam","Diazepam","Oral","DB00829","Diazepam","IVAX Pharmaceuticals, Inc."
1098,"ATACAND HCT","ATACAND HCT (Tablet)","Candesartan cilexetil","Candesartan","Oral","","Candesartan cilexetil and hydrochlorothiazide","AstraZeneca LP"
1099,"Thallous Chloride Tl 201","Thallous Chloride Tl 201 (Injection, Solution)","Thallous Chloride, Tl-201","Thallous Chloride, Tl-201","Intravenous","","Thallous Chloride, Tl-201","TCI Medical, Inc."
1100,"Sulfazalazine","Sulfazalazine (Tablet)","Sulfasalazine","Sulfasalazine","Oral","","Sulfazalazine","Greenstone, Ltd."
1101,"Methyclothiazide","Methyclothiazide (Tablet)","Methyclothiazide","Methyclothiazide","Oral","DB00232","Methyclothiazide","Mylan Pharmaceuticals, Inc."
1102,"Tobramycin","Tobramycin (Injection)","Tobramycin sulfate","TOBRAMYCIN","Intramuscular","","Tobramycin sulfate","Akorn - Strides, LLC"
1103,"Cyclobenzaprine hydrochloride","Cyclobenzaprine hydrochloride (Tablet, Film Coated)","cyclobenzaprine hydrochloride","cyclobenzaprine","Oral","","Cyclobenzaprine hydrochloride","Patriot Pharmaceuticals, LLC"
1104,"HALOG-E","HALOG-E (Cream)","halcinonide","halcinonide","Topical","","halcinonide","Bristol-Myers Squibb Company"
1105,"HALOG-E","HALOG-E (Cream)","","","Intravenous","","Albumin Human",""
1106,"Herceptin","Herceptin (Kit)","Trastuzumab","Trastuzumab","Intravenous","DB00072","Trastuzumab","Genentech"
1107,"Fluocinolone Acetonide","Fluocinolone Acetonide (Ointment)","Fluocinolone Acetonide","Fluocinolone","Topical","DB00591","Fluocinolone Acetonide","E. FOUGERA&CO."
1108,"vinCRISTINE Sulfate","vinCRISTINE Sulfate (Injection, Solution)","vincristine sulfate","vincristine","Intravenous","","vincristine sulfate","Mayne"
1109,"Cardioite","Cardioite (Injection, Powder, Lyophilized, For Solution)","TETRAKIS(1-ISOCYANO-2-METHOXY-2-METHYL-PROPANE)-COPPER(I) TETRAFLUOROBORATE","TETRAKIS(1-ISOCYANO-2-METHOXY-2-METHYL-PROPANE)-COPPER(I) TETRAFLUOROBORATE","Intravenous","","TETRAKIS(1-ISOCYANO-2-METHOXY-2-METHYL-PROPANE)-COPPER(I) TETRAFLUOROBORATE","Bristol-Myers Squibb Medical Imaging"
1110,"Cimetidine","Cimetidine (Tablet, Film Coated)","Cimetidine","Cimetidine","Oral","DB00501","Cimetidine","TEVA PHARMACEUTICALS USA"
1111,"Brimonidine Tartrate","Brimonidine Tartrate (Solution)","Brimonidine Tartrate","Brimonidine","Ophthalmic","","Brimonidine Tartrate","IVAX Pharmaceuticals, Inc."
1112,"ProAir HFA","ProAir HFA (Aerosol, Metered)","albuterol sulfate","albuterol","Respiratory (inhalation)","","albuterol sulfate","Teva Specialty Pharmaceuticals LLC"
1113,"Doxycycline","Doxycycline (Tablet, Film Coated)","doxycycline","doxycycline anhydrous","Oral","DB00254","Doxycycline","Lannett Company, Inc."
1114,"Clorazepate Dipotassium","Clorazepate Dipotassium (Tablet)","Clorazepate Dipotassium","Clorazepic acid","Oral","","Clorazepate Dipotassium","Taro Pharmaceuticals U.S.A., Inc."
1115,"Ketorolac Tromethamine","Ketorolac Tromethamine (Injection, Solution)","Ketorolac Tromethamine","Ketorolac","Intramuscular","","Ketorolac Tromethamine","HOSPIRA, INC."
1116,"Indapamide","Indapamide (Tablet, Film Coated)","Indapamide","Indapamide","Oral","DB00808","Indapamide","IVAX Pharmaceuticals, Inc."
1117,"Dilatrate-SR","Dilatrate-SR (Capsule, Extended Release)","Isosorbide Dinitrate","Isosorbide Dinitrate","Oral","DB00883","Isosorbide Dinitrate","Schwarz Pharma"
1118,"Cortisporin","Cortisporin (Suspension)","neomycin sulfate","neomycin","Auricular (otic)","","neomycin sulfate, polymyxin B sulfate and hydrocortisone","Monarch Pharmaceuticals, Inc."
1119,"Revex","Revex (Injection, Solution)","nalmefene hydrochloride","nalmefene","Intravenous","","nalmefene hydrochloride","Baxter Healthcare Corporation"
1120,"Mesnex","Mesnex (Tablet)","Mesna","mesna","Oral","","mesna","Baxter Healthcare Corporation"
1121,"GLUCOPHAGE","GLUCOPHAGE (Tablet, Film Coated)","metformin hydrochloride","metformin","Oral","","METFORMIN HYDROCHLORIDE","Bristol-Myers Squibb"
1122,"WELCHOL","WELCHOL (Tablet, Film Coated)","Colesevelam Hydrochloride","Colesevelam","Oral","","Colesevelam Hydrochloride","Daiichi Sankyo, Inc."
1123,"Sertraline","Sertraline (Tablet)","Sertraline hydrochloride","sertraline","Oral","","Sertraline hydrochloride","Genpharm"
1124,"Tolazamide","Tolazamide (Tablet)","Tolazamide","Tolazamide","Oral","DB00839","Tolazamide","Mylan Pharmaceuticals Inc."
1125,"Tizanidine Hydrochloride","Tizanidine Hydrochloride (Tablet)","tizanidine hydrochloride","tizanidine","Oral","","Tizanidine Hydrochloride","BARR LABORATORIES INC"
1126,"Metronidazole","Metronidazole (Gel)","Metronidazole","Metronidazole","Topical","DB00916","Metronidazole","Taro Pharmaceuticals U.S.A., Inc."
1127,"Dexrazoxane","Dexrazoxane (Injection, Powder, For Solution)","DEXRAZOXANE hydrochloride","DEXRAZOXANE","Intravenous","","Dexrazoxane hydrochloride","Bedford Laboratories"
1128,"CONCERTA","CONCERTA (Tablet, Extended Release)","Methylphenidate hydrochloride","Methylphenidate","Oral","","Methylphenidate hydrochloride","McNeil Pediatrics"
1129,"Nicardipine Hydrochloride","Nicardipine Hydrochloride (Capsule)","Nicardipine Hydrochloride","Nicardipine","Oral","","Nicardipine Hydrochloride","GENPHARM INC."
1130,"TOPROL-XL","TOPROL-XL (Tablet, Extended Release)","Metoprolol succinate","Metoprolol","Oral","","Metoprolol succinate","AstraZeneca LP"
1131,"Tis-U-Sol","Tis-U-Sol (Solution)","Sodium Chloride","sodium chloride","Irrigation","","Sodium chloride, potassium chloride, magnesium sulfate, sodium phosphate and potassium phosphate","Baxter Healthcare Corporation"
1132,"Naltrexone Hydrochloride","Naltrexone Hydrochloride (Tablet)","naltrexone hydrochloride","naltrexone","Oral","","Naltrexone Hydrochloride","BARR LABORATORIES, INC."
1133,"Clobetasol Propionate","Clobetasol Propionate (Cream)","Clobetasol Propionate","Clobetasol","Topical","","Clobetasol Propionate","Taro Pharmaceuticals U.S.A., Inc."
